,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
30-Apr,276,662,0,238,273,2023,400,342,1266,1088,938,893,107,393,179,668,2458,269,152,571,143,1089,245,947,1560,400,386,497,401,397,951,1605,340,549,228
1-May,56,687,0,282,282,2021,296,363,1393,1562,903,181,130,384,149,984,2540,287,367,604,133,1176,262,1195,1591,268,417,421,358,364,1482,1276,353,548,239
2-May,56,500,0,292,266,1646,289,1587,1165,1651,708,124,129,387,189,1013,862,254,108,547,146,1270,226,1023,1618,275,393,313,328,607,1426,1386,364,609,216
3-May,280,537,0,296,267,1136,283,1992,1468,1719,697,131,381,398,208,483,1300,386,116,553,124,524,252,1269,1593,349,393,229,483,127,1302,605,370,660,249
4-May,307,569,0,287,276,1319,277,2013,1356,276,472,122,135,372,145,484,1729,400,499,556,139,335,232,1439,1531,285,385,239,254,182,1292,1205,377,399,246
5-May,417,500,0,321,254,2636,340,2034,1740,245,480,133,1000,357,143,1818,1419,374,555,124,89,1208,234,1236,575,285,372,208,262,249,676,956,380,386,246
6-May,632,530,0,263,273,2061,277,2084,109,561,433,354,693,369,129,910,1299,252,126,131,147,337,147,997,208,287,417,287,519,1389,758,1317,380,296,249
7-May,425,528,111,273,326,2028,637,2082,1177,536,485,336,130,389,132,836,1686,271,126,639,141,261,765,290,287,68,407,290,376,440,682,3151,381,296,236
8-May,16,502,0,232,352,1932,658,2166,2055,528,504,557,131,407,502,728,2385,329,732,630,153,292,241,946,874,103,395,1950,413,492,877,3248,648,281,189
9-May,26,1387,0,363,355,1144,631,1977,1951,534,1346,169,457,374,459,668,1079,270,674,1085,142,1279,825,1133,1055,155,383,878,429,427,687,3195,496,257,227
10-May,908,1371,0,297,345,716,624,2730,1987,548,1368,382,465,413,483,166,1794,277,717,983,136,1199,939,987,1085,117,414,1147,351,568,729,3069,571,260,398
11-May,1369,1438,0,347,335,995,150,2780,1946,549,2189,407,411,347,264,162,2757,245,1129,601,141,1285,927,1328,1213,119,419,1901,229,553,738,2799,439,206,286
12-May,1405,1398,0,334,335,867,157,2777,681,548,1792,1416,460,138,120,737,2536,271,1109,126,119,1313,212,884,1086,106,402,2157,221,928,533,2894,546,145,827
13-May,1214,1352,0,372,342,985,162,1613,719,1063,1759,1670,467,169,515,676,1316,267,723,120,125,1295,202,1200,225,125,407,2385,399,684,748,2889,558,186,659
14-May,688,770,0,333,292,1133,159,1604,1446,1327,1362,1938,185,211,447,654,1520,229,217,581,140,1241,227,259,273,116,401,2413,258,449,937,2895,678,190,585
15-May,16,469,0,273,347,1330,152,1612,1452,1152,1370,1926,215,167,489,671,1381,144,482,727,122,1222,234,288,604,113,407,2336,278,433,918,2884,878,459,595
16-May,16,814,0,328,322,868,231,1626,1465,365,923,1027,524,523,471,678,912,145,493,810,83,1191,241,260,471,143,418,937,545,1203,1066,2899,1194,732,426
17-May,1173,1165,0,327,333,718,236,1578,1017,374,893,1051,376,259,407,128,974,260,644,729,141,859,249,1460,539,241,383,969,598,1231,1325,2874,1555,644,515
18-May,425,2100,0,337,332,1090,218,1583,26,378,738,1194,401,278,213,133,994,253,712,750,130,864,233,1376,570,234,384,2178,1068,1270,1353,2666,1518,626,530
19-May,377,2012,0,333,382,1183,212,26,26,388,747,871,393,258,150,381,1010,336,491,631,120,529,282,1407,606,294,515,2111,697,1411,1043,2672,1032,657,538
20-May,226,2059,0,323,283,1168,198,26,26,244,798,1290,625,553,503,390,995,280,398,493,136,603,285,1099,294,302,507,2228,748,1404,1040,2830,935,658,515
21-May,820,1269,0,264,305,1393,216,36,1316,622,1124,775,154,155,488,843,943,269,394,469,108,542,558,982,230,1236,491,2320,705,994,877,2892,971,421,527
22-May,26,946,0,273,273,1188,212,1088,1434,994,1525,435,132,473,605,620,910,137,664,519,98,767,250,711,787,552,542,1715,366,917,815,2539,1037,181,525
23-May,16,1295,234,293,273,703,212,281,1665,726,678,451,562,542,825,632,516,134,697,637,110,659,247,323,896,629,533,719,298,1242,1158,2845,789,605,534
24-May,900,1487,0,277,273,660,209,373,1650,825,670,605,762,521,813,698,447,391,1526,267,155,608,817,470,828,545,750,246,300,986,1374,2185,771,192,536
25-May,919,1588,0,284,293,654,204,919,1733,396,694,598,687,471,655,912,625,374,933,315,472,251,200,224,614,553,219,753,386,1156,1392,1761,370,358,551
26-May,843,1609,0,284,46,1312,201,1132,16,432,598,627,748,529,208,902,745,378,117,410,131,480,445,190,850,626,484,1261,365,1023,713,1271,505,351,0
27-May,888,1638,0,282,36,1143,191,268,16,706,597,642,741,478,195,2198,717,367,355,153,356,471,668,267,651,203,578,1288,352,1106,316,1003,473,351,0
28-May,819,1440,0,345,46,808,267,36,36,1080,607,1085,448,169,1130,2779,837,402,142,448,131,528,484,651,185,989,501,1318,361,657,472,1550,653,359,0
29-May,601,1342,0,284,156,1064,267,36,46,1147,612,444,443,491,1114,2814,1601,360,351,388,106,527,686,261,389,914,529,1392,644,225,761,1343,571,339,0
30-May,36,2025,0,316,46,659,330,686,1148,1160,718,439,573,495,1076,2762,584,140,453,417,443,517,564,478,962,438,679,767,352,610,681,1403,478,613,0
31-May,126,1891,0,303,145,550,373,1164,1668,1145,683,719,666,498,856,1859,853,856,464,450,417,490,1202,511,809,636,696,224,642,554,665,1358,700,206,0
1-Jun,462,1873,0,253,36,1172,507,1253,1740,915,642,939,545,563,834,2185,1129,1039,467,453,484,553,989,596,869,1004,630,600,508,577,695,824,337,812,0
2-Jun,352,1928,0,273,155,1212,726,1162,1231,854,996,1398,545,534,833,2171,1260,887,1228,400,120,490,984,548,995,873,1092,728,634,536,661,818,479,1431,0
3-Jun,484,1834,0,1239,36,1182,776,552,1219,1135,937,1149,539,529,1065,2088,1635,1009,441,134,185,948,765,537,725,176,793,524,511,477,226,1121,583,1173,0
4-Jun,445,1345,0,905,155,955,728,26,920,1158,884,998,487,144,1041,1192,992,697,126,437,392,683,786,847,231,817,775,684,422,719,750,1177,531,341,0
5-Jun,247,590,0,1311,55,996,785,343,930,381,1551,296,84,922,1049,1721,963,396,401,415,105,699,647,653,500,760,833,713,696,356,681,1373,559,394,0
6-Jun,254,348,0,859,158,619,713,356,957,380,972,240,540,1448,1046,1669,1009,119,407,440,304,892,300,485,522,784,959,890,306,849,777,1455,477,598,0
7-Jun,997,1562,0,850,98,522,749,848,1172,440,2670,434,686,1470,764,477,953,697,443,455,315,553,649,844,584,1180,675,228,593,862,784,1097,783,171,0
8-Jun,1239,1561,262,273,36,2238,737,89,1674,397,2663,307,770,1458,768,276,1183,693,624,449,569,572,847,551,560,1206,594,668,618,830,776,1154,238,401,0
9-Jun,1226,1804,0,277,79,1898,722,36,1164,196,2639,421,1170,1450,781,1585,1166,679,944,638,112,1529,1373,1005,533,757,812,546,448,894,700,1053,528,350,0
