DATE,AF,IN,QD
1999-02-28,21833.115,-1.162,0.0
1999-03-01,21853.857,10.458,0.0
1999-03-02,21874.6,10.458,0.0
1999-03-03,21895.342,10.458,0.0
1999-03-04,21916.084,10.458,0.0
1999-03-05,21936.826,10.458,0.0
1999-03-06,21957.568,10.458,0.0
1999-03-07,21978.311,10.458,0.0
1999-03-08,21999.053,10.458,0.0
1999-03-09,22019.795,10.458,0.0
1999-03-10,22040.537,10.458,0.0
1999-03-11,22061.279,10.458,0.0
1999-03-12,22082.598,10.748,0.0
1999-03-13,22103.34,10.458,0.0
1999-03-14,22124.658,10.748,0.0
1999-03-15,22145.4,10.458,0.0
1999-03-16,22166.719,10.748,0.0
1999-03-17,22187.461,10.458,0.0
1999-03-18,22208.779,10.748,0.0
1999-03-19,22229.521,10.458,0.0
1999-03-20,22250.84,10.748,0.0
1999-03-21,22271.582,10.458,0.0
1999-03-22,22292.9,10.748,0.0
1999-03-23,22313.643,10.458,0.0
1999-03-24,22334.961,10.748,0.0
1999-03-25,22355.703,10.458,0.0
1999-03-26,22377.021,10.748,0.0
1999-03-27,22397.764,10.458,0.0
1999-03-28,22419.082,10.748,0.0
1999-03-29,22439.824,10.458,0.0
1999-03-30,22461.143,10.748,0.0
1999-03-31,22481.885,10.458,0.0
1999-04-01,22481.885,0.0,0.0
1999-04-02,22481.885,0.0,0.0
1999-04-03,22481.885,0.0,0.0
1999-04-04,22481.885,0.0,0.0
1999-04-05,22481.885,0.0,0.0
1999-04-06,22481.885,0.0,0.0
1999-04-07,22481.885,0.0,0.0
1999-04-08,22481.885,0.0,0.0
1999-04-09,22481.885,0.0,0.0
1999-04-10,22481.885,0.0,0.0
1999-04-11,22481.885,0.0,0.0
1999-04-12,22481.885,0.0,0.0
1999-04-13,22481.885,0.0,0.0
1999-04-14,22481.885,0.0,0.0
1999-04-15,22481.885,0.0,0.0
1999-04-16,22481.885,0.0,0.0
1999-04-17,22481.885,0.0,0.0
1999-04-18,22481.885,0.0,0.0
1999-04-19,22481.885,0.0,0.0
1999-04-20,22481.885,0.0,0.0
1999-04-21,22481.885,0.0,0.0
1999-04-22,22481.885,0.0,0.0
1999-04-23,22481.885,0.0,0.0
1999-04-24,22481.885,0.0,0.0
1999-04-25,22481.885,0.0,0.0
1999-04-26,22481.885,0.0,0.0
1999-04-27,22481.885,0.0,0.0
1999-04-28,22481.885,0.0,0.0
1999-04-29,22481.885,0.0,0.0
1999-04-30,22481.885,0.0,0.0
1999-05-01,22481.885,0.0,0.0
1999-05-02,22491.104,4.648,0.0
1999-05-03,22500.322,4.648,0.0
1999-05-04,22509.541,4.648,0.0
1999-05-05,22518.76,4.648,0.0
1999-05-06,22527.979,4.648,0.0
1999-05-07,22537.197,4.648,0.0
1999-05-08,22546.416,4.648,0.0
1999-05-09,22555.635,4.648,0.0
1999-05-10,22564.277,4.357,0.0
1999-05-11,22573.496,4.648,0.0
1999-05-12,22582.139,4.357,0.0
1999-05-13,22591.357,4.648,0.0
1999-05-14,22600.0,4.357,0.0
1999-05-15,22615.938,8.035,0.0
1999-05-16,22631.875,8.035,0.0
1999-05-17,22647.812,8.035,0.0
1999-05-18,22663.75,8.035,0.0
1999-05-19,22679.023,7.7,0.0
1999-05-20,22694.961,8.035,0.0
1999-05-21,22710.234,7.7,0.0
1999-05-22,22726.172,8.035,0.0
1999-05-23,22741.445,7.7,0.0
1999-05-24,22757.383,8.035,0.0
1999-05-25,22772.656,7.7,0.0
1999-05-26,22788.594,8.035,0.0
1999-05-27,22803.867,7.7,0.0
1999-05-28,22906.133,51.559,0.0
1999-05-29,23007.734,51.224,0.0
1999-05-30,23212.266,103.118,0.0
1999-05-31,23416.133,102.783,0.0
1999-06-01,23504.453,45.828,1.3
1999-06-02,23592.773,45.793,1.265
1999-06-03,23681.094,45.83,1.302
1999-06-04,23769.414,45.826,1.298
1999-06-05,23857.734,45.83,1.302
1999-06-06,23946.055,45.795,1.267
1999-06-07,24034.375,45.862,1.333
1999-06-08,24122.695,45.728,1.2
1999-06-09,24211.68,46.063,1.2
1999-06-10,24300.0,45.728,1.2
1999-06-11,24436.133,69.865,1.231
1999-06-12,24612.773,90.256,1.2
1999-06-13,24857.812,124.741,1.2
1999-06-14,25088.906,117.71,1.2
1999-06-15,25292.773,103.983,1.2
1999-06-16,25523.867,117.71,1.2
1999-06-17,25782.188,133.116,2.88
1999-06-18,26054.453,143.266,5.999
1999-06-19,26203.867,82.647,7.318
1999-06-20,26326.719,69.459,7.521
1999-06-21,26434.961,79.958,25.385
1999-06-22,26543.867,95.035,40.128
1999-06-23,26680.0,111.826,43.193
1999-06-24,26843.359,102.766,20.405
1999-06-25,27006.719,83.789,1.428
1999-06-26,27114.961,56.948,2.376
1999-06-27,27223.867,62.936,8.029
1999-06-28,27360.0,69.135,0.501
1999-06-29,27468.906,55.19,0.283
1999-06-30,27591.094,61.854,0.251
1999-07-01,27781.68,96.089,0.002
1999-07-02,27890.586,54.923,0.016
1999-07-03,27999.492,54.925,0.018
1999-07-04,28134.961,68.364,0.066
1999-07-05,28271.094,68.717,0.083
1999-07-06,28407.227,68.7,0.067
1999-07-07,28529.414,61.654,0.051
1999-07-08,28597.812,34.518,0.033
1999-07-09,28679.492,27.453,0.016
1999-07-10,28760.508,34.149,0.033
1999-07-11,28774.453,7.114,0.083
1999-07-12,28706.719,9.075,43.224
1999-07-13,28625.039,72.177,100.0
1999-07-14,28285.039,86.198,100.0
1999-07-15,27945.039,270.289,150.0
1999-07-16,27605.039,269.717,200.0
1999-07-17,27278.32,275.864,200.0
1999-07-18,26938.32,257.608,200.0
1999-07-19,26870.586,366.651,200.0
1999-07-20,26380.508,177.419,200.0
1999-07-21,25741.68,236.324,250.0
1999-07-22,25088.906,363.193,350.0
1999-07-23,24531.094,410.424,350.0
1999-07-24,23714.961,279.533,350.0
1999-07-25,23239.492,452.084,350.0
1999-07-26,22695.625,416.85,350.0
1999-07-27,22210.508,445.72,350.0
1999-07-28,21661.992,523.107,350.0
1999-07-29,21113.477,632.457,350.0
1999-07-30,20393.838,548.482,350.0
1999-07-31,19674.199,550.782,350.0
1999-08-01,18953.984,-43.109,320.0
1999-08-02,18181.338,-39.543,350.0
1999-08-03,17408.115,-69.833,320.0
1999-08-04,16934.0,80.967,320.0
1999-08-05,16460.0,81.025,320.0
1999-08-06,15985.801,80.924,320.0
1999-08-07,15538.824,24.649,250.0
1999-08-08,15092.567,-8.988,216.0
1999-08-09,14645.693,-9.299,216.0
1999-08-10,14024.387,-97.242,216.0
1999-08-11,13766.318,72.89,203.0
1999-08-12,13508.449,85.991,216.0
1999-08-13,13250.581,72.991,203.0
1999-08-14,12830.387,-8.848,203.0
1999-08-15,12400.0,-0.987,216.0
1999-08-16,11979.416,-9.045,203.0
1999-08-17,11439.337,-69.29,203.0
1999-08-18,10919.121,-59.276,203.0
1999-08-19,10391.542,-62.988,203.0
1999-08-20,9863.595,-71.174,195.0
1999-08-21,9335.647,-76.174,190.0
1999-08-22,8815.432,-72.276,190.0
1999-08-23,8287.853,-88.988,177.0
1999-08-24,7865.469,-35.952,177.0
1999-08-25,7479.662,-19.511,175.0
1999-08-26,7099.504,11.337,203.0
1999-08-27,6713.965,8.624,203.0
1999-08-28,6328.158,25.489,220.0
1999-08-29,5948.0,28.337,220.0
1999-08-30,5562.192,8.489,203.0
1999-08-31,5238.639,39.875,203.0
1999-09-01,5206.928,187.012,203.0
1999-09-02,5175.217,-15.988,0.0
1999-09-03,5143.506,-15.988,0.0
1999-09-04,5111.795,-15.988,0.0
1999-09-05,5080.084,-15.988,0.0
1999-09-06,5048.373,-15.988,0.0
1999-09-07,5016.662,-15.988,0.0
1999-09-08,4984.951,-15.988,0.0
1999-09-09,4953.434,-15.89,0.0
1999-09-10,4921.723,-15.988,0.0
1999-09-11,4954.4,16.475,0.0
1999-09-12,4987.078,16.475,0.0
1999-09-13,5019.756,16.475,0.0
1999-09-14,5052.434,16.475,0.0
1999-09-15,5085.111,16.475,0.0
1999-09-16,5117.789,16.475,0.0
1999-09-17,5150.467,16.475,0.0
1999-09-18,5183.145,16.475,0.0
1999-09-19,5215.822,16.475,0.0
1999-09-20,5248.5,16.475,0.0
1999-09-21,5281.178,16.475,0.0
1999-09-22,5313.855,16.475,0.0
1999-09-23,5346.533,16.475,0.0
1999-09-24,5379.211,16.475,0.0
1999-09-25,5417.716,19.413,0.0
1999-09-26,5463.185,22.924,0.0
1999-09-27,5508.653,22.924,0.0
1999-09-28,5554.121,22.924,0.0
1999-09-29,5599.589,22.924,0.0
1999-09-30,5645.058,22.924,0.0
1999-10-01,5645.865,0.407,0.0
1999-10-02,5646.672,0.407,0.0
1999-10-03,5647.479,0.407,0.0
1999-10-04,5648.286,0.407,0.0
1999-10-05,5649.093,0.407,0.0
1999-10-06,5649.9,0.407,0.0
1999-10-07,5650.708,0.407,0.0
1999-10-08,5651.515,0.407,0.0
1999-10-09,5652.322,0.407,0.0
1999-10-10,5653.129,0.407,0.0
1999-10-11,5653.667,0.271,0.0
1999-10-12,5654.474,0.407,0.0
1999-10-13,5655.012,0.271,0.0
1999-10-14,5655.819,0.407,0.0
1999-10-15,5656.357,0.271,0.0
1999-10-16,5657.165,0.407,0.0
1999-10-17,5657.703,0.271,0.0
1999-10-18,5658.51,0.407,0.0
1999-10-19,5659.048,0.271,0.0
1999-10-20,5659.855,0.407,0.0
1999-10-21,5660.393,0.271,0.0
1999-10-22,5661.2,0.407,0.0
