DATE,AF,CHSTOR,IN,QD
1990-10-02,82981.828,-253.445,210.431,338.21
1990-10-03,82803.797,-178.031,164.923,254.681
1990-10-04,82880.445,76.648,153.785,115.142
1990-10-05,82981.828,101.383,80.805,29.691
1990-10-06,83209.312,227.484,159.533,44.843
1990-10-07,83386.109,176.797,139.458,50.323
1990-10-08,83614.828,228.719,154.723,39.411
1990-10-09,83868.273,253.445,166.381,38.603
1990-10-10,84046.688,178.414,129.393,39.443
1990-10-11,84149.148,102.461,96.637,44.979
1990-10-12,84354.07,204.922,148.463,45.148
1990-10-13,84532.75,178.68,135.49,45.406
1990-10-14,84635.211,102.461,97.063,45.406
1990-10-15,84635.211,0.0,45.381,45.381
1990-10-16,84916.352,281.141,187.148,45.406
1990-10-17,85121.273,204.922,148.721,45.406
1990-10-18,85248.719,127.445,109.009,44.755
1990-10-19,85377.422,128.703,104.746,39.858
1990-10-20,85453.641,76.219,78.083,39.656
1990-10-21,85633.57,179.93,129.492,38.777
1990-10-22,85684.797,51.227,65.179,39.352
1990-10-23,85863.477,178.68,127.874,37.79
1990-10-24,86042.164,178.688,122.717,32.629
1990-10-25,86119.633,77.469,70.985,31.927
1990-10-26,86195.852,76.219,74.596,36.169
1990-10-27,86247.078,51.227,77.926,52.1
1990-10-28,86400.773,153.695,130.475,52.987
1990-10-29,86452.0,51.227,78.246,52.419
1990-10-30,86503.75,51.75,67.519,41.428
1990-10-31,86684.25,180.5,129.456,38.453
1990-11-01,86943.0,258.75,168.21,37.757
1990-11-02,87201.75,258.75,164.357,33.903
1990-11-03,87226.992,25.242,36.033,23.307
1990-11-04,87485.75,258.758,152.451,21.994
1990-11-05,87719.258,233.508,139.721,21.994
1990-11-06,87976.75,257.492,151.813,21.994
1990-11-07,88106.75,130.0,90.31,24.769
1990-11-08,88235.5,128.75,86.517,21.605
1990-11-09,88415.992,180.492,112.992,21.994
1990-11-10,88571.242,155.25,100.266,21.994
1990-11-11,88701.25,130.008,86.986,21.44
1990-11-12,88753.0,51.75,47.599,21.509
1990-11-13,88960.008,207.008,126.361,21.994
1990-11-14,89037.0,76.992,60.811,21.994
1990-11-15,89219.312,182.312,113.91,21.994
1990-11-16,89323.852,104.539,74.699,21.994
1990-11-17,89428.398,104.547,74.703,21.994
1990-11-18,89532.938,104.539,74.699,21.994
1990-11-19,89637.477,104.539,74.699,21.994
1990-11-20,89767.516,130.039,87.556,21.994
1990-11-21,89794.289,26.773,35.492,21.994
1990-11-22,89898.836,104.547,74.703,21.994
1990-11-23,90003.375,104.539,74.699,21.994
1990-11-24,90055.648,52.273,48.349,21.994
1990-11-25,90212.461,156.812,101.054,21.994
1990-11-26,90264.734,52.273,48.745,22.391
1990-11-27,90290.227,25.492,35.252,22.4
1990-11-28,90317.0,26.773,35.918,22.42
1990-11-29,90420.266,103.266,74.503,22.44
1990-11-30,90577.086,156.82,101.058,21.994
1990-12-01,90603.852,26.766,35.426,21.931
1990-12-02,90603.852,0.0,21.941,21.941
1990-12-03,90760.672,156.82,101.014,21.951
1990-12-04,90786.164,25.492,34.813,21.96
1990-12-05,90838.438,52.273,48.325,21.97
1990-12-06,90865.211,26.773,35.478,21.98
1990-12-07,90890.711,25.5,34.846,21.989
1990-12-08,91047.523,156.812,101.059,21.999
1990-12-09,91099.789,52.266,48.359,22.009
1990-12-10,91099.789,0.0,22.018,22.018
1990-12-11,91099.789,0.0,22.028,22.028
1990-12-12,91099.789,0.0,22.038,22.038
1990-12-13,91229.836,130.047,87.613,22.047
1990-12-14,91361.148,131.312,88.26,22.057
1990-12-15,91361.148,0.0,22.067,22.067
1990-12-16,91386.648,25.5,34.932,22.076
1990-12-17,91491.188,104.539,74.791,22.086
1990-12-18,91491.188,0.0,22.096,22.096
1990-12-19,91543.461,52.273,48.46,22.105
1990-12-20,91570.234,26.773,35.613,22.115
1990-12-21,91595.727,25.492,34.977,22.125
1990-12-22,91622.5,26.773,35.632,22.134
1990-12-23,91648.0,25.5,35.0,22.144
1990-12-24,91753.625,105.625,75.406,22.153
1990-12-25,91806.438,52.812,48.789,22.163
1990-12-26,91859.25,52.812,48.799,22.173
1990-12-27,91885.008,25.758,35.169,22.182
1990-12-28,91912.055,27.047,35.828,22.192
1990-12-29,91912.055,0.0,22.202,22.202
1990-12-30,92017.68,105.625,75.464,22.211
1990-12-31,92070.492,52.812,48.847,22.221
1991-01-01,92096.258,25.766,35.221,22.231
1991-01-02,92123.305,27.047,35.876,22.24
1991-01-03,92149.062,25.758,35.236,22.25
1991-01-04,92176.117,27.055,35.9,22.26
1991-01-05,92176.117,0.0,22.27,22.27
1991-01-06,92176.117,0.0,22.28,22.28
1991-01-07,92201.875,25.758,35.276,22.29
1991-01-08,92201.875,0.0,22.3,22.3
1991-01-09,92307.5,105.625,75.563,22.31
1991-01-10,92360.312,52.812,48.946,22.32
1991-01-11,92386.07,25.758,35.316,22.33
1991-01-12,92386.07,0.0,22.34,22.34
1991-01-13,92413.125,27.055,35.99,22.35
1991-01-14,92413.125,0.0,22.36,22.36
1991-01-15,92455.633,42.508,43.801,22.37
1991-01-16,92498.141,42.508,43.811,22.38
1991-01-17,92540.641,42.5,43.817,22.39
1991-01-18,92583.148,42.508,43.831,22.4
1991-01-19,92624.367,41.219,43.191,22.41
1991-01-20,92650.133,25.766,35.41,22.42
1991-01-21,92677.18,27.047,36.066,22.43
1991-01-22,92677.18,0.0,22.44,22.44
1991-01-23,92702.945,25.766,35.44,22.45
1991-01-24,92702.945,0.0,22.46,22.46
1991-01-25,92702.945,0.0,22.47,22.47
1991-01-26,92702.945,0.0,22.48,22.48
1991-01-27,92729.992,27.047,36.126,22.49
1991-01-28,92808.562,78.57,62.113,22.5
1991-01-29,92835.617,27.055,36.15,22.51
1991-01-30,92861.375,25.758,35.506,22.52
1991-01-31,92861.375,0.0,22.53,22.53
1991-02-01,92888.43,27.055,27.086,13.446
1991-02-02,92888.43,0.0,13.4,13.4
1991-02-03,92888.43,0.0,13.332,13.332
1991-02-04,92914.188,25.758,25.949,12.963
1991-02-05,92914.188,0.0,13.203,13.203
1991-02-06,92914.188,0.0,13.415,13.415
1991-02-07,92914.188,0.0,13.4,13.4
1991-02-08,92914.188,0.0,13.4,13.4
1991-02-09,92914.188,0.0,13.581,13.581
1991-02-10,92941.242,27.055,27.529,13.889
1991-02-11,92941.242,0.0,13.889,13.889
1991-02-12,92941.242,0.0,13.889,13.889
1991-02-13,92941.242,0.0,13.779,13.779
1991-02-14,92967.0,25.758,26.448,13.461
1991-02-15,92967.0,0.0,12.906,12.906
1991-02-16,92967.0,0.0,12.956,12.956
1991-02-17,92992.766,25.766,26.194,13.203
1991-02-18,92992.766,0.0,13.31,13.31
1991-02-19,92992.766,0.0,12.933,12.933
1991-02-20,93098.383,105.617,66.425,13.177
1991-02-21,93098.383,0.0,12.485,12.485
1991-02-22,93098.383,0.0,11.272,11.272
1991-02-23,93098.383,0.0,11.272,11.272
1991-02-24,93098.383,0.0,11.272,11.272
1991-02-25,93125.438,27.055,24.912,11.272
1991-02-26,93125.438,0.0,11.272,11.272
