site_name,datetime,release,release_pre,storage,storage_pre,inflow,release_roll7,inflow_roll7,storage_roll7,storage_x_inflow
Hoover,2015-04-30,13.209166666666668,12.200833333333334,9931.0,9962.0,-17.79083333333333,9.197440476190476,-7.791785714285731,10012.285714285716,-177232.28166666665
Hoover,2015-05-01,8.822916666666666,13.209166666666668,9917.0,9931.0,-5.177083333333334,9.636785714285711,-7.084702380952398,9994.857142857143,-51413.614583333336
Hoover,2015-05-02,5.0164583333333335,8.822916666666666,9917.0,9917.0,5.0164583333333335,9.629583333333333,-7.154315476190492,9978.142857142857,49748.21729166667
Hoover,2015-05-03,4.02325,5.0164583333333335,9924.0,9917.0,11.02325,9.417113095238095,-4.973255952380969,9961.57142857143,109317.57025
Hoover,2015-05-04,7.10875,4.02325,9914.0,9924.0,-2.8912500000000003,9.026744047619047,-3.7631369047619203,9947.57142857143,-28692.765000000003
Hoover,2015-05-05,7.612916666666666,7.10875,9911.0,9914.0,4.612916666666666,8.52257738095238,-1.857958333333349,9935.285714285716,45732.455833333326
Hoover,2015-05-06,9.22625,7.612916666666666,9891.0,9911.0,-10.77375,8.284898809523808,-2.2828988095238256,9925.142857142857,-106778.63625
Hoover,2015-05-07,9.075,9.22625,9872.0,9891.0,-9.925,7.859958333333333,-1.1592083333333496,9915.0,-98168.175
Hoover,2015-05-08,10.789166666666668,9.075,9854.0,9872.0,-7.210833333333332,7.269363095238095,-1.4497440476190635,9906.57142857143,-71185.34666666665
Hoover,2015-05-09,7.310416666666667,10.789166666666668,9847.0,9854.0,0.3104166666666668,7.550255952380953,-2.1220357142857305,9897.57142857143,3058.8458333333347
Hoover,2015-05-10,7.360833333333333,7.310416666666667,9842.0,9847.0,2.360833333333333,7.877964285714285,-3.3595238095238256,9887.57142857143,23247.125833333328
Hoover,2015-05-11,9.327083333333333,7.360833333333333,9830.0,9842.0,-2.6729166666666675,8.354761904761904,-3.3283333333333496,9875.857142857143,-26306.84583333334
Hoover,2015-05-12,8.469999999999999,9.327083333333333,9814.0,9830.0,-7.530000000000001,8.671666666666667,-5.063035714285731,9863.857142857143,-74019.90000000001
Hoover,2015-05-13,10.5875,8.469999999999999,9789.0,9814.0,-14.4125,8.794107142857142,-5.582857142857159,9850.0,-141444.275
Hoover,2015-05-14,10.43625,10.5875,9768.0,9789.0,-10.56375,8.988571428571428,-5.674107142857159,9835.42857142857,-103408.54875
Hoover,2015-05-15,7.965833333333333,10.43625,9757.0,9768.0,-3.0341666666666667,9.183035714285714,-5.077440476190493,9820.57142857143,-29637.74
Hoover,2015-05-16,5.243333333333333,7.965833333333333,9761.0,9757.0,9.243333333333332,8.779702380952381,-3.8013095238095405,9806.714285714286,90187.20333333332
Hoover,2015-05-17,5.6466666666666665,5.243333333333333,9762.0,9761.0,6.6466666666666665,8.484404761904761,-3.189047619047636,9794.42857142857,64878.113333333335
Hoover,2015-05-18,6.705416666666666,5.6466666666666665,9757.0,9762.0,1.7054166666666664,8.23952380952381,-2.5635714285714455,9783.0,16648.277499999997
Hoover,2015-05-19,5.949166666666667,6.705416666666666,9758.0,9757.0,6.949166666666667,7.865,-0.4951190476190642,9772.57142857143,67803.01916666667
Hoover,2015-05-20,7.058333333333334,5.949166666666667,9749.0,9758.0,-1.9416666666666664,7.504880952380953,1.286428571428555,9764.57142857143,-18946.78333333333
Hoover,2015-05-21,7.007916666666667,7.058333333333334,9746.0,9749.0,4.007916666666667,7.000714285714285,3.368095238095222,9758.857142857143,39073.17958333333
Hoover,2015-05-22,6.302083333333333,7.007916666666667,9739.0,9746.0,-0.697916666666667,6.51095238095238,3.7018452380952214,9755.714285714286,-6801.895833333337
Hoover,2015-05-23,5.59625,6.302083333333333,9744.0,9739.0,10.596250000000001,6.273273809523809,3.895119047619031,9753.142857142857,103196.87875000002
Hoover,2015-05-24,4.754291666666666,5.59625,9748.0,9744.0,8.754291666666667,6.323690476190476,4.196208333333317,9750.714285714286,85301.818
Hoover,2015-05-25,4.477,4.754291666666666,9752.0,9748.0,8.477,6.196208333333333,5.163577380952366,9748.714285714286,82633.796
Hoover,2015-05-26,7.209583333333333,4.477,9745.0,9752.0,0.2095833333333328,5.877863095238095,4.200779761904746,9748.0,2043.8566666666613
Hoover,2015-05-27,6.453333333333333,7.209583333333333,9739.0,9745.0,0.45333333333333314,6.057922619047619,4.542922619047602,9746.142857142857,4417.733333333332
Hoover,2015-05-28,6.8566666666666665,6.453333333333333,9731.0,9739.0,-1.1433333333333335,5.971494047619047,3.807029761904746,9744.714285714286,-11134.923333333336
Hoover,2015-05-29,6.9070833333333335,6.8566666666666665,9727.0,9731.0,2.9070833333333335,5.949886904761904,4.322029761904746,9742.57142857143,28288.82791666667
