DateTime,thf_id,thf_qd,thf_af
1995-05-27,232.37,241.0,13664.78
1995-05-28,221.07,214.0,13678.94
1995-05-29,239.89,227.0,13706.07
1995-05-30,254.4,248.0,13720.23
1995-05-31,317.15,286.0,13788.65
1995-06-01,392.0,371.0,13835.84
1995-06-02,417.29,415.0,13842.92
1995-06-03,401.17,413.0,13815.79
1995-06-04,372.16,376.0,13808.71
1995-06-05,532.71,496.0,13898.37
1995-06-06,472.58,505.0,13822.86
1995-06-07,367.47,398.0,13754.44
1995-06-08,303.93,324.0,13706.07
1995-06-09,236.62,248.0,13678.94
1995-06-10,206.74,209.0,13671.86
1995-06-11,209.78,216.0,13657.71
1995-06-12,324.57,280.0,13747.36
1995-06-13,319.32,315.0,13754.44
1995-06-14,353.77,339.0,13781.57
1995-06-15,402.37,391.0,13808.71
1995-06-16,413.27,409.0,13815.79
1995-06-17,441.69,427.0,13850.0
1995-06-18,526.77,507.0,13898.37
1995-06-19,675.41,648.0,13966.79
1995-06-20,771.09,747.0,14015.68
1995-06-21,651.73,681.0,13945.55
1995-06-22,499.15,526.0,13877.13
1995-06-23,442.02,443.0,13864.15
1995-06-24,436.86,432.0,13857.08
1995-06-25,420.37,416.0,13850.0
1995-06-26,415.03,424.0,13815.79
1995-06-27,370.59,382.0,13767.42
1995-06-28,302.08,320.0,13699.0
1995-06-29,252.97,240.0,13686.02
1995-06-30,193.77,191.0,13651.81
1995-07-01,160.7,157.0,13616.42
1995-07-02,134.7,134.0,13576.31
1995-07-03,143.78,124.0,13569.23
1995-07-04,130.04,114.0,13555.07
1995-07-05,127.77,102.0,13562.15
1995-07-06,110.94,110.0,13513.78
1995-07-07,111.24,89.0,13506.7
1995-07-08,87.28,78.0,13479.57
1995-07-09,84.75,113.0,13376.93
1995-07-10,58.44,116.0,13205.88
1995-07-11,74.23,93.0,13116.22
1995-07-12,61.9,94.0,12999.43
1995-07-13,79.15,94.0,12916.85
1995-07-14,65.47,94.0,12807.14
1995-07-15,54.45,93.0,12677.37
1995-07-16,54.35,99.0,12537.83
1995-07-17,46.29,115.0,12347.62
1995-07-18,62.79,112.0,12196.79
1995-07-19,68.43,111.0,12059.48
1995-07-20,50.37,108.0,11901.9
1995-07-21,34.94,100.0,11745.45
1995-07-22,20.77,100.0,11561.99
1995-07-23,25.67,98.0,11392.03
1995-07-24,32.67,97.0,11238.19
1995-07-25,58.87,113.0,11100.42
1995-07-26,41.64,110.0,10936.8
1995-07-27,36.16,110.0,10762.43
1995-07-28,42.71,108.0,10605.27
1995-07-29,-7.36,114.0,10336.17
1995-07-30,31.65,117.0,10134.89
1995-07-31,39.77,116.0,9952.32
1995-08-01,39.66,115.0,9771.46
1995-08-02,24.55,115.0,9560.63
1995-08-03,27.95,115.0,9362.2
1995-08-04,24.22,112.0,9163.78
1995-08-05,29.82,112.0,8976.72
1995-08-06,17.7,110.0,8769.88
1995-08-07,25.74,105.0,8590.58
1995-08-08,30.9,100.0,8435.07
1995-08-09,34.5,101.0,8284.5
1995-08-10,54.84,105.0,8163.65
1995-08-11,63.08,106.0,8059.64
1995-08-12,42.61,107.0,7915.02
1995-08-13,41.01,105.0,7771.39
1995-08-14,36.16,105.0,7618.15
1995-08-15,16.35,101.0,7434.71
1995-08-16,15.42,98.0,7256.05
1995-08-17,42.1,97.0,7134.17
1995-08-18,44.5,94.0,7025.19
1995-08-19,44.5,94.0,6916.22
1995-08-20,40.34,93.0,6802.59
1995-08-21,21.0,94.0,6650.78
1995-08-22,13.93,91.0,6491.05
1995-08-23,9.77,87.0,6331.63
1995-08-24,5.2,85.0,6168.58
1995-08-25,4.94,80.0,6016.16
1995-08-26,20.92,79.0,5897.79
1995-08-27,1.11,75.0,5748.51
1995-08-28,6.64,72.0,5619.54
1995-08-29,1.6,71.0,5482.52
1995-08-30,2.34,70.0,5348.1
1995-08-31,6.04,72.0,5217.97
1995-09-01,0.75,78.0,5063.0
1995-09-02,8.41,82.0,4914.23
1995-09-03,9.8,104.0,4716.97
1995-09-04,15.48,108.0,4518.1
1995-09-05,9.6,100.0,4328.15
1995-09-06,20.91,99.0,4161.95
1995-09-07,17.54,98.0,3991.8
1995-09-08,28.5,97.0,3845.4
1995-09-09,43.24,97.0,3730.1
1995-09-10,28.55,96.0,3587.43
1995-09-11,21.77,95.0,3433.78
1995-09-12,22.64,94.0,3285.23
1995-09-13,16.76,93.0,3126.93
1995-09-14,18.6,92.0,2974.76
1995-09-15,12.36,90.0,2813.22
1995-09-16,14.18,90.0,2657.21
1995-09-17,10.59,88.0,2497.39
1995-09-18,11.43,87.0,2342.2
1995-09-19,11.64,88.0,2184.94
1995-09-20,11.15,94.0,2012.01
1995-09-21,12.21,97.0,1833.61
1995-09-22,21.9,95.0,1680.35
1995-09-23,18.46,89.0,1534.14
1995-09-24,24.56,84.0,1411.38
1995-09-25,28.44,75.0,1319.2
1995-09-26,34.3,71.0,1251.46
1995-09-27,45.59,70.0,1210.25
1995-09-28,34.37,61.0,1166.29
1995-09-29,39.07,57.0,1143.53
1995-09-30,30.17,53.0,1111.34
1995-10-01,19.66,39.0,1088.18
1995-10-02,25.14,35.0,1083.47
1995-10-03,39.23,30.0,1115.66
1995-10-04,33.26,27.0,1141.17
1995-10-05,39.28,19.0,1191.8
1995-10-06,36.5,13.0,1247.14
1995-10-07,32.15,13.0,1293.86
1995-10-08,44.69,13.0,1365.51
1995-10-09,40.76,13.0,1429.29
1995-10-10,40.97,13.0,1493.51
1995-10-11,48.35,13.0,1564.66
1995-10-12,45.59,9.8,1635.04
1995-10-13,46.8,6.9,1714.09
1995-10-14,48.12,6.8,1796.04
1995-10-15,49.28,6.6,1880.62
1995-10-16,52.42,6.6,1971.42
1995-10-17,49.39,6.9,2055.81
1995-10-18,44.65,6.9,2130.59
1995-10-19,50.02,7.0,2215.92
1995-10-20,53.67,7.1,2308.29
1995-10-21,48.53,7.3,2390.14
1995-10-22,50.29,7.3,2475.49
1995-10-23,52.19,7.3,2564.62
1995-10-24,63.25,7.3,2675.6
1995-10-25,63.91,7.7,2787.22
1995-10-26,65.53,7.6,2902.1
1995-10-27,60.11,7.6,3006.29
1995-10-28,60.11,7.6,3110.48
1995-10-29,72.67,7.7,3239.35
1995-10-30,61.0,7.8,3344.94
1995-10-31,59.31,7.9,3446.89
1995-11-01,63.72,7.9,3557.57
1995-11-02,57.11,7.9,3655.15
1995-11-03,52.23,7.9,3742.99
1995-11-04,68.44,8.0,3862.85
1995-11-05,73.27,8.3,3991.8
1995-11-06,70.64,8.3,4115.45
1995-11-07,87.68,8.4,4272.75
1995-11-08,101.72,8.3,4457.95
1995-11-09,73.39,8.3,4587.11
1995-11-10,95.77,8.3,4760.53
1995-11-11,87.9,8.3,4918.34
1995-11-12,114.03,8.3,5128.07
1995-11-13,189.89,8.6,5487.66
1995-11-14,238.98,8.6,5944.61
1995-11-15,171.79,8.6,6268.22
1995-11-16,142.0,8.7,6532.72
1995-11-17,136.53,8.9,6785.83
1995-11-18,132.45,9.0,7030.78
1995-11-19,114.34,9.0,7239.81
1995-11-20,129.38,9.0,7478.66
1995-11-21,104.81,9.0,7668.78
1995-11-22,115.62,9.0,7880.35
1995-11-23,119.92,9.0,8100.25
1995-11-24,117.19,9.3,8314.22
1995-11-25,146.25,9.4,8585.63
1995-11-26,145.66,9.3,8856.06
1995-11-27,128.24,9.6,9091.43
1995-11-28,246.39,9.8,9560.63
1995-11-29,375.21,9.7,10285.58
1995-11-30,373.3,9.7,11006.77
1995-12-01,458.52,10.0,11896.28
1995-12-02,379.5,10.0,12629.0
1995-12-03,311.18,10.0,13225.93
1995-12-04,259.41,97.0,13547.99
1995-12-05,246.0,234.0,13576.31
1995-12-06,256.92,250.0,13596.36
1995-12-07,233.24,240.0,13589.28
1995-12-08,205.78,217.0,13569.23
1995-12-09,223.21,218.0,13582.2
1995-12-10,225.35,228.0,13582.2
1995-12-11,252.85,231.0,13630.57
1995-12-12,517.35,401.0,13877.13
1995-12-13,643.33,642.0,13905.44
1995-12-14,538.54,589.0,13829.94
1995-12-15,471.04,504.0,13788.65
1995-12-16,413.96,446.0,13747.36
1995-12-17,344.22,383.0,13686.02
1995-12-18,328.18,342.0,13671.86
1995-12-19,282.81,300.0,13644.73
1995-12-20,290.81,294.0,13644.73
1995-12-21,267.65,278.0,13630.57
1995-12-22,238.11,255.0,13603.44
