DateTime,isl_id,isl_qd,isl_af
2004-02-19,306.59,45.31,81491.68
2004-02-20,335.22,45.32,81787.66
2004-02-21,283.01,45.34,81968.17
2004-02-22,343.15,45.36,82265.98
2004-02-23,315.08,45.37,82506.14
2004-02-24,346.08,45.39,82805.8
2004-02-25,312.92,45.4,83047.63
2004-02-26,497.23,45.43,83655.02
2004-02-27,340.72,45.46,83961.91
2004-02-28,249.23,45.47,84081.37
2004-02-29,312.8,45.48,84326.92
2004-03-01,344.96,45.5,84636.27
2004-03-02,317.57,45.51,84883.35
2004-03-03,314.94,45.53,85131.16
2004-03-04,347.88,45.54,85440.35
2004-03-05,319.01,45.56,85684.33
2004-03-06,289.59,45.58,85862.03
2004-03-07,357.74,45.59,86163.01
2004-03-08,259.57,45.6,86283.14
2004-03-09,289.22,45.61,86462.09
2004-03-10,316.59,45.62,86703.27
2004-03-11,397.05,45.64,87066.35
2004-03-12,332.49,45.66,87309.3
2004-03-13,266.33,45.67,87430.95
2004-03-14,327.0,45.68,87674.92
2004-03-15,327.3,45.69,87919.48
2004-03-16,292.93,45.7,88101.83
2004-03-17,323.9,45.72,88347.58
2004-03-18,289.95,45.73,88533.92
2004-03-19,380.39,45.75,88901.64
2004-03-20,321.02,45.77,89149.62
2004-03-21,383.22,45.78,89522.94
2004-03-22,385.0,45.8,89897.82
2004-03-23,351.33,45.82,90209.88
2004-03-24,286.88,45.84,90400.05
2004-03-25,352.2,45.85,90713.84
2004-03-26,449.55,45.88,91220.72
2004-03-27,396.59,45.9,91602.71
2004-03-28,364.31,45.92,91920.68
2004-03-29,360.45,45.94,92242.89
2004-03-30,386.74,45.96,92629.16
2004-03-31,323.27,45.98,92887.55
2004-04-01,456.07,46.0,93403.4
2004-04-02,391.19,46.02,93794.53
2004-04-03,493.13,46.05,94385.86
2004-04-04,428.76,46.08,94845.54
2004-04-05,595.27,44.66,95641.45
2004-04-06,425.84,43.84,96107.25
2004-04-07,532.63,43.87,96778.91
2004-04-08,531.0,43.9,97455.27
2004-04-09,604.36,39.06,98273.17
2004-04-10,361.11,37.03,98600.66
2004-04-11,520.99,37.05,99255.19
2004-04-12,517.24,37.08,99914.18
2004-04-13,453.68,37.11,100441.14
2004-04-14,693.97,37.14,101444.71
2004-04-15,567.76,37.19,102184.07
2004-04-16,743.35,37.21,103271.7
2004-04-17,676.88,37.26,104229.48
2004-04-18,650.07,37.3,105128.14
2004-04-19,725.58,37.34,106178.54
2004-04-20,619.98,43.45,107021.47
2004-04-21,546.24,40.0,107732.02
