DateTime,Inflow_cfs,Release_cfs,Storage_acft,Gain_cfs
2004-11-29,-213.84,,403468.0,-286.84
2004-11-30,198.44,,403468.0,127.44
2004-12-01,195.0,,403468.0,125.0
2004-12-02,198.84,,403468.0,129.84
2004-12-03,94.11,,403256.0,27.11
2004-12-04,97.99,,403054.0,32.99
2004-12-05,199.51,,403054.0,136.51
2004-12-06,30.79,,402641.0,-34.21
2004-12-07,827.49,,403881.0,752.49
2004-12-08,1766.0,,406986.0,1683.0
2004-12-09,512.38,,407604.0,427.38
2004-12-10,726.43,,408649.0,636.43
2004-12-11,511.86,,409269.0,418.86
2004-12-12,730.1,,410316.0,632.1
2004-12-13,767.3,,411434.0,664.3
2004-12-14,512.62,,412058.0,406.62
2004-12-15,409.04,,412478.0,302.04
2004-12-16,304.94,,412693.0,197.94
2004-12-17,297.8,,412897.0,192.8
2004-12-18,514.61,,413533.0,410.61
2004-12-19,83.7,,413317.0,-18.3
2004-12-20,511.19,,413953.0,410.19
2004-12-21,193.1,,413953.0,94.1
2004-12-22,409.66,,414374.0,311.66
2004-12-23,195.17,,414374.0,100.17
2004-12-24,297.42,,414579.0,204.42
2004-12-25,302.46,,414795.0,211.46
2004-12-26,192.76,,414795.0,103.76
2004-12-27,299.66,,415000.0,212.66
2004-12-28,196.17,,415000.0,110.17
2004-12-29,304.81,,415216.0,219.81
2004-12-30,622.09,,416059.0,535.09
2004-12-31,408.69,,416481.0,320.69
2005-01-01,404.98,,416892.0,316.98
2005-01-02,306.12,,417109.0,218.12
2005-01-03,300.32,,417315.0,215.32
2005-01-04,92.76,,417109.0,10.76
2005-01-05,298.97,,417315.0,218.97
2005-01-06,303.35,,417531.0,223.35
2005-01-07,408.22,,417953.0,327.22
2005-01-08,622.13,,418799.0,538.13
2005-01-09,408.36,,419223.0,323.36
2005-01-10,193.59,,419223.0,109.59
2005-01-11,406.66,,419646.0,324.66
2005-01-12,84.86,,419429.0,4.86
2005-01-13,302.2,,419646.0,224.2
2005-01-14,192.38,,419646.0,116.38
2005-01-15,192.08,,419646.0,118.08
2005-01-16,508.29,,420276.0,431.29
2005-01-17,199.37,,420276.0,122.37
2005-01-18,519.89,,420918.0,440.89
2005-01-19,412.53,,421342.0,334.53
2005-01-20,197.94,,421342.0,120.94
2005-01-21,326.85,,421549.0,249.85
2005-01-22,210.72,,421549.0,135.72
2005-01-23,319.74,,421767.0,244.74
2005-01-24,310.95,,421974.0,235.95
2005-01-25,309.45,,422181.0,235.45
2005-01-26,313.42,,422399.0,240.42
2005-01-27,421.46,,422824.0,349.46
2005-01-28,200.45,,422824.0,128.45
2005-01-29,519.13,,423457.0,447.13
2005-01-30,307.83,,423675.0,236.83
2005-01-31,195.84,,423675.0,125.84
2005-02-01,416.18,,424101.0,346.18
2005-02-02,206.95,,424101.0,136.95
2005-02-03,309.46,,424309.0,241.46
2005-02-04,204.13,,424309.0,136.13
2005-02-05,312.55,,424527.0,245.55
2005-02-06,305.11,,424735.0,239.11
2005-02-07,308.32,,424953.0,242.32
2005-02-08,201.37,,424953.0,136.37
2005-02-09,303.63,,425161.0,238.63
2005-02-10,195.56,,425161.0,131.56
2005-02-11,196.03,,425161.0,133.03
2005-02-12,304.6,,425380.0,241.6
2005-02-13,623.98,,426233.0,558.98
2005-02-14,195.34,,426233.0,131.34
2005-02-15,199.73,,426233.0,135.73
2005-02-16,200.91,,426233.0,137.91
2005-02-17,202.94,,426233.0,140.94
2005-02-18,202.28,,426233.0,140.28
2005-02-19,305.22,,426442.0,245.22
2005-02-20,415.29,,426869.0,353.29
2005-02-21,309.29,,427088.0,246.29
2005-02-22,199.28,,427088.0,137.28
2005-02-23,199.03,,427088.0,138.03
2005-02-24,202.12,,427088.0,142.12
2005-02-25,312.71,,427297.0,252.71
2005-02-26,208.1,,427297.0,148.1
2005-02-27,207.3,,427297.0,147.3
2005-02-28,311.99,,427505.0,252.99
2005-03-01,206.46,,427505.0,146.46
2005-03-02,206.25,,427505.0,147.25
2005-03-03,317.16,,427724.0,257.16
2005-03-04,306.24,,427933.0,247.24
2005-03-05,199.9,,427933.0,140.9
2005-03-06,310.57,,428152.0,250.57
2005-03-07,305.7,,428361.0,244.7
2005-03-08,310.4,,428580.0,249.4
2005-03-09,306.42,,428789.0,243.42
2005-03-10,311.96,,429009.0,245.96
2005-03-11,418.84,,429437.0,347.84
2005-03-12,419.49,,429866.0,343.49
2005-03-13,419.45,,430295.0,338.45
2005-03-14,305.37,,430505.0,221.37
2005-03-15,414.51,,430934.0,328.51
2005-03-16,313.0,,431154.0,225.0
2005-03-17,636.06,,432014.0,545.06
2005-03-18,421.31,,432444.0,330.31
2005-03-19,529.12,,433085.0,436.12
